ticket_id,month,category,new_category,assigned_team,resolving_team
TK-243808,2025-07,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-243306,2025-07,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-249115,2026-01,App & Firmware,App & Firmware,Chat Frontline,Chat Frontline
TK-248297,2025-12,Account & Login,Account & Login,Chat Frontline,Chat Frontline
TK-244443,2025-08,Other,Warranty & Repair,Chat Frontline,Chat Frontline
TK-252472,2026-04,Connectivity,Connectivity,Email Frontline,Escalations & Warranty
TK-252481,2026-04,Connectivity,Audio Quality,Chat Frontline,Escalations & Warranty
TK-241653,2025-04,Billing & Payments,Billing & Payments,Billing,Billing
TK-243503,2025-07,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-248940,2026-01,Charging & Battery,Charging & Battery,Email Frontline,Email Frontline
TK-247894,2025-12,App & Firmware,App & Firmware,Email Frontline,Email Frontline
TK-252869,2026-05,Other,Charging & Battery,Email Frontline,Email Frontline
TK-245955,2025-10,Product Enquiry,Product Enquiry,Voice Frontline,Voice Frontline
TK-251871,2026-04,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-240194,2025-01,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-252563,2026-04,Product Enquiry,Product Enquiry,Chat Frontline,Logistics
TK-247239,2025-11,Other,Product Enquiry,Chat Frontline,Chat Frontline
TK-253459,2026-05,Billing & Payments,Billing & Payments,Billing,Billing
TK-249769,2026-01,App & Firmware,App & Firmware,Chat Frontline,Chat Frontline
TK-251027,2026-03,Connectivity,Connectivity,Email Frontline,Email Frontline
TK-254565,2026-06,Charging & Battery,Charging & Battery,Chat Frontline,Chat Frontline
TK-247310,2025-11,Connectivity,Connectivity,Email Frontline,Email Frontline
TK-246448,2025-10,Other,Delivery & Shipping,Chat Frontline,Chat Frontline
TK-253180,2026-05,Product Enquiry,Product Enquiry,Voice Frontline,Billing
TK-254558,2026-06,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-244063,2025-08,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-246965,2025-11,Returns & Refunds,Delivery & Shipping,Returns Desk,Returns Desk
TK-246693,2025-11,Returns & Refunds,Delivery & Shipping,Returns Desk,Returns Desk
TK-241611,2025-03,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-253343,2026-05,Returns & Refunds,Delivery & Shipping,Returns Desk,Returns Desk
TK-248369,2025-12,Billing & Payments,Billing & Payments,Billing,Billing
TK-252470,2026-04,Other,Returns & Refunds,Chat Frontline,Chat Frontline
TK-246012,2025-10,Billing & Payments,Billing & Payments,Billing,Billing
TK-248965,2026-01,Account & Login,Account & Login,Email Frontline,Email Frontline
TK-243537,2025-07,Billing & Payments,Returns & Refunds,Billing,Billing
TK-251922,2026-04,Charging & Battery,Charging & Battery,Chat Frontline,Chat Frontline
TK-253106,2026-05,Other,Returns & Refunds,Chat Frontline,Chat Frontline
TK-242018,2025-04,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-245613,2025-10,Billing & Payments,Billing & Payments,Billing,Billing
TK-243159,2025-06,Other,Billing & Payments,Chat Frontline,Chat Frontline
TK-241503,2025-03,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-242780,2025-06,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-251490,2026-03,Other,Delivery & Shipping,Chat Frontline,Email Frontline
TK-248082,2025-12,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-248976,2026-01,Account & Login,Account & Login,Chat Frontline,Chat Frontline
TK-242804,2025-06,Other,Connectivity,Chat Frontline,Chat Frontline
TK-245620,2025-10,Billing & Payments,Returns & Refunds,Billing,Billing
TK-246473,2025-10,Connectivity,Connectivity,Chat Frontline,Chat Frontline
TK-244381,2025-08,Charging & Battery,Charging & Battery,Email Frontline,Email Frontline
TK-246121,2025-10,Other,Returns & Refunds,Email Frontline,Email Frontline
TK-244551,2025-08,Connectivity,Connectivity,Chat Frontline,Chat Frontline
TK-248395,2025-12,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-243903,2025-08,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-248776,2025-12,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-253760,2026-06,Audio Quality,Audio Quality,Chat Frontline,Chat Frontline
TK-253432,2026-05,Other,Billing & Payments,Email Frontline,Email Frontline
TK-249366,2026-01,Audio Quality,Audio Quality,Email Frontline,Chat Frontline
TK-252659,2026-04,Warranty & Repair,Warranty & Repair,Escalations & Warranty,Escalations & Warranty
TK-248997,2026-01,Billing & Payments,Billing & Payments,Billing,Billing
TK-246888,2025-11,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-241895,2025-04,Connectivity,Connectivity,Chat Frontline,Chat Frontline
TK-246479,2025-10,Connectivity,Connectivity,Chat Frontline,Chat Frontline
TK-243821,2025-07,App & Firmware,App & Firmware,Chat Frontline,Chat Frontline
TK-244939,2025-09,Warranty & Repair,Charging & Battery,Escalations & Warranty,Escalations & Warranty
TK-246337,2025-10,App & Firmware,Connectivity,Chat Frontline,Chat Frontline
TK-243810,2025-07,Warranty & Repair,Charging & Battery,Escalations & Warranty,Escalations & Warranty
TK-252879,2026-05,App & Firmware,Connectivity,Email Frontline,Email Frontline
TK-243786,2025-07,Other,Returns & Refunds,Voice Frontline,Voice Frontline
TK-252025,2026-04,Billing & Payments,Billing & Payments,Billing,Billing
TK-244835,2025-09,Delivery & Shipping,Delivery & Shipping,Logistics,Chat Frontline
TK-240752,2025-02,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-242155,2025-04,Connectivity,Connectivity,Chat Frontline,Email Frontline
TK-244572,2025-08,Audio Quality,Audio Quality,Chat Frontline,Chat Frontline
TK-247579,2025-11,Other,Delivery & Shipping,Chat Frontline,Chat Frontline
TK-246780,2025-11,Product Enquiry,Product Enquiry,Email Frontline,Email Frontline
TK-242458,2025-05,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-248200,2025-12,Other,Warranty & Repair,Email Frontline,Email Frontline
TK-248701,2025-12,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-253697,2026-05,Audio Quality,Audio Quality,Chat Frontline,Chat Frontline
TK-250884,2026-03,App & Firmware,App & Firmware,Voice Frontline,Voice Frontline
TK-247418,2025-11,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-249443,2026-01,Connectivity,Connectivity,Chat Frontline,Chat Frontline
TK-250538,2026-02,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-250890,2026-03,Audio Quality,Audio Quality,Chat Frontline,Email Frontline
TK-240446,2025-01,Billing & Payments,Billing & Payments,Billing,Billing
TK-247428,2025-11,Other,Delivery & Shipping,Chat Frontline,Chat Frontline
TK-252910,2026-05,App & Firmware,Connectivity,Email Frontline,Chat Frontline
TK-244654,2025-08,Other,Connectivity,Chat Frontline,Chat Frontline
TK-253883,2026-06,Connectivity,Warranty & Repair,Email Frontline,Chat Frontline
TK-243932,2025-08,Billing & Payments,Delivery & Shipping,Billing,Billing
TK-244927,2025-09,App & Firmware,App & Firmware,Chat Frontline,Chat Frontline
TK-248690,2025-12,Charging & Battery,Charging & Battery,Chat Frontline,Chat Frontline
TK-244513,2025-08,Charging & Battery,Charging & Battery,Chat Frontline,Chat Frontline
TK-244969,2025-09,Billing & Payments,Billing & Payments,Billing,Billing
TK-252287,2026-04,Delivery & Shipping,Returns & Refunds,Logistics,Logistics
TK-249094,2026-01,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-246878,2025-11,Charging & Battery,Charging & Battery,Email Frontline,Chat Frontline
TK-243079,2025-06,Billing & Payments,Delivery & Shipping,Billing,Billing
TK-248346,2025-12,Billing & Payments,Billing & Payments,Billing,Billing
TK-249804,2026-01,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-250470,2026-02,Connectivity,App & Firmware,Voice Frontline,Voice Frontline
TK-251594,2026-03,Connectivity,Connectivity,Voice Frontline,Voice Frontline
TK-251533,2026-03,Billing & Payments,Delivery & Shipping,Billing,Logistics
TK-253809,2026-06,App & Firmware,App & Firmware,Chat Frontline,Chat Frontline
TK-247231,2025-11,App & Firmware,App & Firmware,Chat Frontline,Chat Frontline
TK-253997,2026-06,Account & Login,Account & Login,Email Frontline,Email Frontline
TK-246503,2025-10,Product Enquiry,Product Enquiry,Chat Frontline,Returns Desk
TK-243930,2025-08,Other,Delivery & Shipping,Email Frontline,Email Frontline
TK-245228,2025-09,Product Enquiry,Product Enquiry,Chat Frontline,Chat Frontline
TK-251997,2026-04,Charging & Battery,Delivery & Shipping,Chat Frontline,Chat Frontline
TK-254477,2026-06,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-240561,2025-01,Other,Returns & Refunds,Chat Frontline,Chat Frontline
TK-243953,2025-08,Other,Returns & Refunds,Chat Frontline,Chat Frontline
TK-243843,2025-08,Account & Login,Account & Login,Email Frontline,Chat Frontline
TK-247828,2025-12,Connectivity,Connectivity,Voice Frontline,Voice Frontline
TK-246786,2025-11,Other,Billing & Payments,Email Frontline,Email Frontline
TK-251865,2026-04,Charging & Battery,Charging & Battery,Chat Frontline,Chat Frontline
TK-243972,2025-08,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-241970,2025-04,Billing & Payments,Delivery & Shipping,Billing,Logistics
TK-246156,2025-10,Product Enquiry,Product Enquiry,Chat Frontline,Chat Frontline
TK-247192,2025-11,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-243434,2025-07,Warranty & Repair,Warranty & Repair,Escalations & Warranty,Escalations & Warranty
TK-242337,2025-05,Billing & Payments,Billing & Payments,Billing,Chat Frontline
TK-254496,2026-06,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-252958,2026-05,Charging & Battery,Charging & Battery,Email Frontline,Email Frontline
TK-245961,2025-10,App & Firmware,App & Firmware,Chat Frontline,Chat Frontline
TK-250568,2026-02,Account & Login,Billing & Payments,Email Frontline,Chat Frontline
TK-252394,2026-04,Audio Quality,Audio Quality,Email Frontline,Chat Frontline
TK-254509,2026-06,Billing & Payments,Returns & Refunds,Billing,Billing
TK-253323,2026-05,Other,Billing & Payments,Chat Frontline,Chat Frontline
TK-243035,2025-06,Other,Delivery & Shipping,Chat Frontline,Chat Frontline
TK-240920,2025-02,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-242303,2025-05,Connectivity,Connectivity,Chat Frontline,Email Frontline
TK-247804,2025-12,Returns & Refunds,Returns & Refunds,Returns Desk,Returns Desk
TK-245429,2025-09,Account & Login,Account & Login,Voice Frontline,Voice Frontline
TK-253496,2026-05,Other,Billing & Payments,Email Frontline,Email Frontline
TK-249306,2026-01,Billing & Payments,Billing & Payments,Billing,Billing
TK-246869,2025-11,Charging & Battery,Charging & Battery,Chat Frontline,Chat Frontline
TK-245135,2025-09,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
TK-250261,2026-02,Delivery & Shipping,Delivery & Shipping,Logistics,Logistics
